gid,id_punto,id_originale,id_ente,tipo_punto,id_acquifero,id_hydros,presenza_strat,stratigrafia_pdf,istat_comune,istat_prov,x_sr1,y_sr1,x_sr2,y_sr2,quota_testa_tubo,nota_coordinate,quota_piano_campagna,fonte_quota_piano_campagna,indirizzo_punto,ente_gestore,proprieta,indirizzo_proprieta,fonte,bacino_idro,note
1,PO0161150U0002,,,PIEZOMETRO,,,,,GORLE,BG,1555778.874176093,5060403.334472175,555750.0,5060383.0,262.955,,262.955,,,,,,PTUA2022,IT03GWBISSAPAO,
2,PO0160240R0296,,,PIEZOMETRO,,,,,BERGAMO,BG,1552423.8007949432,5057977.3025793275,552395.0,5057957.0,232.0,,232.0,,,,,,PTUA2022,IT03GWBISSAPAO,
3,PO016042NU0001,,,POZZO,,,,,BRUSAPORTO,BG,1560043.9427630368,5057541.262692223,560015.0,5057521.0,232.0,,232.0,,,,,,PTUA2022,IT03GWBISSAPAO,
4,PO0160890R0001,,,POZZO,,,,,CURNO,BG,1546247.6871600011,5058675.3414388485,546219.0,5058655.0,201.044,,200.294,,,,,,PTUA2022,IT03GWBISSAPAO,
5,PO0160980R0009,,,PIEZOMETRO,,,,,FILAGO,BG,1541823.5866466966,5054580.282465688,541795.0,5054560.0,202.836,,202.836,,,,,,PTUA2022,IT03GWBISSAPAO,
6,PO016117NU0001,,,PIEZOMETRO,,,,,GRASSOBBIO,BG,1556850.8681689024,5054086.210675137,556822.0,5054066.0,204.898,,204.898,,,,,,PTUA2022,IT03GWBISSAPAO,
7,PO016123NU0001,,,POZZO,,,,,LALLIO,BG,1548664.72672735,5057222.303937904,548636.0,5057202.0,216.8,,216.8,,,,,,PTUA2022,IT03GWBISSAPAO,
8,PO0162130R0002,,,PIEZOMETRO,,,,,TERNO D'ISOLA,BG,1541536.6016429835,5059487.376374917,541508.0,5059467.0,230.29,,230.29,,,,,,PTUA2022,IT03GWBISSAPAO,
9,PO0160280R0003,,,PIEZOMETRO,,,,,BOLGARE,BG,1563298.9862027678,5053209.1673378525,563270.0,5053189.0,192.624,,192.474,,,,,,PTUA2022,IT03GWBISSAPAO,
10,PO0160750U0003,,,PIEZOMETRO,,,,,CISERANO,BG,1548114.6806172095,5048625.143778225,548086.0,5048605.0,159.04,,159.04,,,,,,PTUA2022,IT03GWBISSAPAO,
11,PO0161530R0004,,,PIEZOMETRO,,,,,OSIO SOTTO,BG,1544490.6265074853,5052062.223793292,544462.0,5052042.0,182.635,,181.915,,,,,,PTUA2022,IT03GWBISSAPAO,
12,PO0161570R3380,,,POZZO,,,,,PALOSCO,BG,1564694.9893023644,5047606.055677785,564666.0,5047586.0,149.671,,149.501,,,,,,PTUA2022,IT03GWBISSAPAO,
13,PO0162120R0001,,,POZZO,,,,,TELGATE,BG,1567115.7856256128,5052582.87267052,567086.73,5052562.733,191.0,,190.5,,,,,,PTUA2022,IT03GWBISSAPAO,
14,PO0160760R1284,,,PIEZOMETRO,,,,,CIVIDATE AL PIANO,BG,1565681.9855765393,5042215.949727233,565653.0,5042196.0,131.5,,131.5,,,,,,PTUA2022,IT03GWBISSAPAO,
15,PO0161290R0001,,,POZZO,,,,,LURANO,BG,1550488.7131178658,5045663.077936562,550460.0,5045643.0,142.426,,142.296,,,,,,PTUA2022,IT03GWBISSAPAO,
16,PO0161830R0003,,,POZZO,,,,,ROMANO DI LOMBARDIA,BG,1559088.8586513225,5041617.965778002,559060.0,5041598.0,124.207,,124.207,,,,,,PTUA2022,IT03GWBISSAPAO,
17,PO016219NUP001,,,POZZO,,,,,TREVIGLIO,BG,1546082.232842324,5041379.1732817665,546053.6207,5041359.158,127.309,,126.559,,,,,,PTUA2022,IT03GWBISSAPAO,
18,PO0161770U0001,,,POZZO,,,,,PUMENENGO,BG,1567777.0013740936,5036487.832782517,567748.0,5036468.0,110.197,,110.197,,,,,,PTUA2022,IT03GWBISSAPAO,DATI SONDA AUTOMATICA NON VALIDI
19,PO0170290UB135,,,PIEZOMETRO,,,,,BRESCIA,BS,1591246.4646689186,5041398.8284207275,591217.0,5041379.0,119.62,,119.62,,,,,,PTUA2022,IT03GWBISSAPOM,
20,PO0170400RC511,,,PIEZOMETRO,,,,,CASTEGNATO,BS,1584433.3556992623,5046136.946131558,584404.0,5046117.0,157.22,,157.28,,,,,,PTUA2022,IT03GWBISSAPOM,
21,PO0171660UC529,,,POZZO,,,,,ROVATO,BS,1579401.2627126297,5046612.975959297,579372.0,5046593.0,176.48,,176.48,,,,,,PTUA2022,IT03GWBISSAPOM,
22,PO0170290RC490,,,POZZO,,,,,BRESCIA,BS,1600992.6412225545,5039615.754450522,600963.0,5039596.0,135.48,,135.48,,,,,,PTUA2022,IT03GWBISSAPOM,
23,PO017029NR0001,,,PIEZOMETRO,,,,,BRESCIA,BS,1592000.4683107038,5038837.776910053,591971.0,5038818.0,107.06,,107.06,,,,,,PTUA2022,IT03GWBISSAPOM,
24,PO0170450RC542,,,POZZO,,,,,CASTREZZATO,BS,1578825.2254251656,5040232.857786732,578796.0,5040213.0,129.4,,129.92,,,,,,PTUA2022,IT03GWBISSAPOM,
25,PO0171130RC561,,,PIEZOMETRO,,,,,MONTICHIARI,BS,1605395.6995429571,5033614.622874078,605366.0,5033595.0,118.75,,120.0,,,,,,PTUA2022,IT03GWBISSAPOM,
26,PO017113NRD106,,,POZZO,,,,,MONTICHIARI,BS,1605229.690582789,5032202.596875848,605200.0,5032183.0,111.68,,111.28,,,,,,PTUA2022,IT03GWBISSAPOM,
27,PO0171140UC023,,,POZZO,,,,,MONTIRONE,BS,1596344.5269169088,5033179.652032074,596315.0,5033160.0,98.78,,100.61,,,,,,PTUA2022,IT03GWBISSAPOM,
28,PO0200170R0001,,,PIEZOMETRO,,,,,CASTIGLIONE DELLE STIVIERE,MN,1615397.867170841,5028486.484707705,615368.0,5028467.0,105.253,,105.253,,,,,,PTUA2022,IT03GWBISSAPOM,
29,PO0170340RC481,,,PIEZOMETRO,,,,,CALVISANO,BS,1603527.6409921672,5027970.52392021,603498.0,5027951.0,85.95,,85.8,,,,,,PTUA2022,IT03GWBISSAPOM,
30,PO020017NU0005,,,PIEZOMETRO,,,,,CASTIGLIONE DELLE STIVIERE,MN,1618088.0004655423,5027982.00008654,618058.0846,5027962.536,112.83,,112.69,,,,,,PTUA2022,IT03GWBISSAPOM,
31,PO0170340RC483,,,PIEZOMETRO,,,,,CALVISANO,BS,1604598.6484461054,5024877.461039397,604569.0,5024858.0,75.97,,75.64,,,,,,PTUA2022,IT03GWBISSAPOM,
32,PO0130230U0003,,,POZZO,,,,,BINAGO,CO,1492832.7260935528,5069906.776429053,492805.0,5069886.0,372.084,,373.384,,,,,,PTUA2022,IT03GWBISSAPTA,
33,PO012002NU0008,,,POZZO,,,,,ALBIZZATE,VA,1485029.5597070209,5065335.722718637,485002.0,5065315.0,313.8,,315.12,,,,,,PTUA2022,IT03GWBISSAPTA,Gestore spegne pozzo al massimo per 30'
34,PO012136NUZ001,,,PIEZOMETRO,,,,,VENEGONO INFERIORE,VA,1493257.711120413,5064410.670803612,493230.0,5064390.0,315.709,,316.009,,,,,,PTUA2022,IT03GWBISSAPTA,
35,PO0130280U0009,,,POZZO,,,,,BREGNANO,CO,1503977.9030955725,5061937.579256373,503950.0,5061917.0,281.548,,283.013,,,,,,PTUA2022,IT03GWBISSAPTA,
36,PO013029NU0003,,,POZZO,,,,,BRENNA,CO,1514945.1204056225,5064415.5802845415,514917.0,5064395.0,340.871,,342.371,,,,,,PTUA2022,IT03GWBISSAPTA,
37,PO0130460U0001,,,POZZO,,,,,CARIMATE,CO,1508169.982413179,5061986.562672012,508142.0,5061966.0,250.348,,253.598,,,,,,PTUA2022,IT03GWBISSAPTA,
38,PO013064NU0002,,,POZZO,,,,,CERMENATE,CO,1506455.948149038,5061527.561157155,506428.0,5061507.0,301.932,,304.572,,,,,,PTUA2022,IT03GWBISSAPTA,
39,PO0131330U0009,,,POZZO,,,,,LOMAZZO,CO,1502044.8649180331,5061531.579661297,502017.0,5061511.0,303.805,,306.115,,,,,,PTUA2022,IT03GWBISSAPTA,
40,PO013143NUP001,,,POZZO,,,,,MARIANO COMENSE,CO,1513138.5275120642,5061587.5873906,513110.453,5061567.053,284.119,,285.209,,,,,,PTUA2022,IT03GWBISSAPTA,
41,PO0970200U0002,,,POZZO,,,,,CERNUSCO LOMBARDONE,LC,1531047.4074539116,5060385.437006663,531019.0,5060365.0,254.711,,256.57,,,,,,PTUA2022,IT03GWBISSAPTA,
42,PO0970480U0001,,,POZZO,,,,,MERATE,LC,1531017.4106948234,5061299.4544006875,530989.0,5061279.0,264.704,,266.704,,,,,,PTUA2022,IT03GWBISSAPTA,
43,PO0120500RZ001,,,PIEZOMETRO,,,,,CISLAGO,VA,1495407.7117266874,5054852.481179372,495380.0,5054832.0,207.042,,207.752,,,,,,PTUA2022,IT03GWBISSAPTA,
44,PO012070NU1007,,,POZZO,,,,,GALLARATE,VA,1482418.4731058753,5056423.565223384,482391.0,5056403.0,252.806,,254.856,,,,,,PTUA2022,IT03GWBISSAPTA,Gestore spegne pozzo al massimo per 30'
45,PO0120790RZ001,,,PIEZOMETRO,,,,,GORLA MINORE,VA,1494784.6983481552,5054465.476469731,494757.0,5054445.0,241.321,,241.521,,,,,,PTUA2022,IT03GWBISSAPTA,
46,PO012123NUP001,,,POZZO,,,,,SOMMA LOMBARDO,VA,1477422.8008025815,5053965.454684141,477395.4323,5053944.915,228.186,,231.736,,,,,,PTUA2022,IT03GWBISSAPTA,Gestore spegne pozzo al massimo per 30'
47,PO0131310U0001,,,POZZO,,,,,LOCATE VARESINO,CO,1494622.717086032,5059677.575652668,494595.0,5059657.0,272.942,,273.982,,,,,,PTUA2022,IT03GWBISSAPTA,
48,PO0131590U0001,,,POZZO,,,,,MOZZATE,CO,1495984.7380179458,5058535.548374813,495957.0,5058515.0,260.0,,261.965,,,,,,PTUA2022,IT03GWBISSAPTA,
49,PO0970200U0003,,,POZZO,,,,,CERNUSCO LOMBARDONE,LC,1530518.3938226153,5059509.422658713,530490.0,5059489.0,246.905,,248.915,,,,,,PTUA2022,IT03GWBISSAPTA,
50,PO0970610U0015,,,POZZO,,,,,OSNAGO,LC,1529888.37549408,5057963.396071313,529860.0,5057943.0,238.515,,238.095,,,,,,PTUA2022,IT03GWBISSAPTA,
51,PO1080390U0026,,,POZZO,,,,,SEREGNO,MB,1516770.3988977452,5056445.040061543,516742.2773,5056424.618,230.749,,233.749,,,,,,PTUA2022,IT03GWBISSAPTA,
52,PO012026NU3021,,,POZZO ATTREZZATO CON PIEZOMETRO,,,,,BUSTO ARSIZIO,VA,1486410.5144246973,5048290.394773715,486383.0,5048270.0,201.672,,204.682,,,,,,PTUA2022-OLONA,IT03GWBISSAPTA,Gestore spegne pozzo al massimo per 30'-via Marco Polo
53,PO0120750R2020,,,POZZO,,,,,GERENZANO,VA,1498270.756148659,5052550.425700276,498243.0,5052530.0,220.926,,220.626,,,,,,PTUA2022,IT03GWBISSAPTA,
54,PO012090NU2009,,,POZZO,,,,,LONATE POZZOLO,VA,1477650.3568040626,5050147.466557265,477623.0,5050127.0,208.446,,207.946,,,,,,PTUA2022,IT03GWBISSAPTA,Gestore spegne pozzo al massimo per 30'
55,PO0121180U0005,,,POZZO,,,,,SAMARATE,VA,1481069.4329150806,5052907.504412185,481042.0,5052887.0,223.767,,226.067,,,,,,PTUA2022,IT03GWBISSAPTA,Gestore spegne pozzo al massimo per 30'
56,PO0121300RZ001,,,PIEZOMETRO,,,,,UBOLDO,VA,1497841.734181879,5049232.364775263,497814.0,5049212.0,203.65,,204.2,,,,,,PTUA2022,IT03GWBISSAPTA,
57,PO0151810U0001,,0151810001,POZZO,,,,,RESCALDINA,MI,1496137.7111500246,5051418.413219467,496110.0,5051398.0,222.44,,222.54,,,,,,PTUA2022-PTUA2003-OLONA,IT03GWBISSAPTA,"via Melzi-Comune I-via Melzi Comune, 1"
58,PO015219NU0009,,,PIEZOMETRO,,,,,TREZZANO ROSA,MI,1537547.529402046,5047791.339963012,537519.0517,5047771.168,168.999,,170.379,,,,,,PTUA2022,IT03GWBISSAPTA,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
59,PO0152210U0001,,0152210001,POZZO,,,,,TREZZO SULL'ADDA,MI,1540539.5478848612,5051087.221801276,540511.0,5051067.0,150.393,,150.393,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPTA,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-via Visconti"
60,PO108023NU0003,,0151000003,POZZO,,,,,DESIO,MB,1516289.0937237684,5051940.338937407,516261.0,5051920.0,199.167,,199.167,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPTA,via Torricelli
61,PO1080310U0001,,0151390001,POZZO,,,,,MEZZAGO,MB,1534740.4461936112,5052951.281157856,534712.0,5052931.0,220.664,,220.664,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPTA,via Unione
62,PO108033NR0142,,01080330142,POZZO,,,,,MONZA,MB,1522649.211534448,5051403.302268722,522621.0,5051383.0,178.79,,178.79,,,,,,PTUA2022,IT03GWBISSAPTA,
63,PO1080350U0024,,,POZZO,,,,,NOVA MILANESE,MB,1515000.0564774242,5048844.285797771,514972.0,5048824.0,174.02,,176.6,,,,,,PTUA2022,IT03GWBISSAPTA,
64,PO1080210U0002,,01080210002,POZZO,,,,,CONCOREZZO,MB,1525404.246761604,5047377.214695325,525376.0,5047357.0,162.45,,162.45,,,,,,PTUA2022,IT03GWBISSAPTA,
65,PO0152060U0004,,0152060004,POZZO,,,,,SENAGO,MI,1510321.9615477796,5047258.275337897,510294.0,5047238.0,169.78,,169.78,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPTA,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-v. Adda"
66,PO015041NR0075,,,PIEZOMETRO,,,,,BUSTO GAROLFO,MI,1491364.5817953586,5042034.255773185,491337.0,5042014.0,171.64,,172.01,,,,,,PTUA2022,IT03GWBISSAPTA,
67,PO015051NR0012,,0150510012,POZZO,,,,,CARUGATE,MI,1526120.2513376859,5045231.171149688,526092.0,5045211.0,153.0,,153.0,,,,,,PTUA2022,IT03GWBISSAPTA,
68,PO015060NU0070,,0150600070,PIEZOMETRO,,,,,CASSINA DE' PECCHI,MI,1528583.2818595765,5041395.088380004,528555.0,5041375.0,134.13,,134.13,,,,,,PTUA2022,IT03GWBISSAPTA,
69,PO015062NR0071,,,PIEZOMETRO,,,,,CASTANO PRIMO,MI,1479279.3610876652,5043826.340227862,479252.0,5043806.0,170.69,,170.64,,,,,,PTUA2022,IT03GWBISSAPTA,
70,PO0151080U0002,,0151080002,POZZO,,,,,GORGONZOLA,MI,1532077.3514537967,5042267.090316026,532049.0,5042247.0,134.37,,134.37,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPTA,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-v. Manzoni"
71,PO015194NU0017,,,PIEZOMETRO,,,,,SAN GIORGIO SU LEGNANO,MI,1492958.628118644,5045914.322464266,492931.0,5045894.0,191.6,,191.65,,,,,,PTUA2022,IT03GWBISSAPTA,
72,PO0152490U0002,,0152490004,PIEZOMETRO,,,,,VANZAGHELLO,MI,1482359.431444077,5046739.382407389,482332.0,5046719.0,191.913,,191.913,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPTA,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-C.La Fogna"
73,PO108033NU0243,,,PIEZOMETRO,,,,,MONZA,MB,1520755.1530815682,5045957.207229703,520727.0,5045937.0,163.584,,163.584,,,,,,PTUA2022,IT03GWBISSAPTA,
74,PO1080520U0016,,,PIEZOMETRO,,,,,CAPONAGO,MB,1528666.1852571082,5045749.474341997,528637.8837,5045729.304,155.237,,157.507,,,,,,PTUA2022,IT03GWBISSAPTA,
75,PO015019NR0001,,0150190001,POZZO,,,,,BERNATE TICINO,MI,1486533.4731135366,5037862.197093046,486506.0,5037842.0,151.01,,151.13,,,,,,PTUA2022-PTUA2003,IT03GWBISSAPTA,v.Pellico-Casate
76,PO015113NUP001,,,PIEZOMETRO,,,,,INVERUNO,MI,1489325.1303311165,5039487.201143059,489297.5977,5039466.985,158.606,,158.826,,,,,,PTUA2022,IT03GWBISSAPTA,
77,PO015146NU1313,,0151461313,PIEZOMETRO,,,,,MILANO,MI,1519779.1013012426,5037955.060026264,519751.0,5037935.0,118.845,,118.845,,,,,,PTUA2022-Idroscalo2005-FOG,IT03GWBISSAPTA,PARCO LAMBRO V.LE VAN GOGH 10 (MAGAZZINO PIANTAGIONI)
78,PO015146NU1534,,0151461534,PIEZOMETRO,,,,,MILANO,MI,1510150.9289366724,5040217.142944911,510123.0,5040197.0,138.95,,138.83,,,,,,PTUA2022-FOG,IT03GWBISSAPTA,VIA CARBONIA - MARCIAPIEDE DI FRONTE AL N. 5
79,PO015146NU1536,,0151461536,PIEZOMETRO,,,,,MILANO,MI,1511891.9471635944,5036706.0692987535,511864.0,5036686.0,125.2,,125.2,,,,,,PTUA2022-FOG,IT03GWBISSAPTA,VIA GATTAMELATA 35
80,PO015146NU1557,,0151461557,POZZO,,,,,MILANO,MI,1514421.9955728077,5036858.061620062,514394.0,5036838.0,123.76,,123.7,,,,,,PTUA2022-Idroscalo2005-FOG,IT03GWBISSAPTA,SCUOLA VIA D'AZEGLIO
81,PO015243NUP001,,,PIEZOMETRO,,,,,VITTUONE,MI,1496238.1686976824,5037338.480613128,496210.5145,5037318.334,147.213,,146.463,,,,,,PTUA2022,IT03GWBISSAPTA,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi"
82,PO015146NU1120,,0151461120,PIEZOMETRO,,,,,MILANO,MI,1513631.9684603643,5033934.00962737,513604.0,5033914.0,117.37,,117.37,,,,,,PTUA2022-FOG,IT03GWBISSAPTA,SCUOLA DI VIA ARIBERTO 12-14
83,PO015146NU1353,,0151462122,PIEZOMETRO,,,,,MILANO,MI,1519823.0848155895,5033799.981283346,519795.0,5033780.0,108.811,,108.811,,,,,,PTUA2022-Idroscalo2005-FOG,IT03GWBISSAPTA,SCUOLA VIA MONLUE' 65 (FOG)
84,PO018162NUP001,,,PIEZOMETRO,,,,,TRAVACO' SICCOMARIO,PV,1512871.086883863,4999724.10765171,512843.2754,4999704.742,61.197,,60.482,,,,,,PTUA2022,IT03GWBISSBPPO,
85,PO019071NRA001,,,PIEZOMETRO,,,,,PIADENA,CR,1611031.6622566471,4998760.940727463,611002.0,4998742.0,26.5,,26.14,,,,,,PTUA2022,IT03GWBISSBPPO,
86,PO0181140U0002,,,POZZO,,,,,PIEVE PORTO MORONE,PV,1534774.206914202,4995264.190103038,534746.0,4995245.0,55.383,,55.383,,,,,,PTUA2022,IT03GWBISSBPPO,
87,PO019040NRA001,,,PIEZOMETRO,,,,,DEROVERE,CR,1597867.3979034943,4994958.9230849845,597838.0,4994940.0,32.95,,32.7,,,,,,PTUA2022,IT03GWBISSBPPO,
88,PO019089NUA001,,,POZZO,,,,,SAN DANIELE PO,CR,1590561.2442309218,4991170.8815745,590532.0,4991152.0,33.6,,33.6,,,,,,PTUA2022,IT03GWBISSBPPO,
89,PO019091NRA001,,,PIEZOMETRO,,,,,SAN MARTINO DEL LAGO,CR,1602983.4788189682,4991140.82975806,602954.0,4991122.0,29.18,,28.83,,,,,,PTUA2022,IT03GWBISSBPPO,
90,PO0200030R0002,,,POZZO,,,,,BAGNOLO SAN VITO,MN,1645257.2909067557,4994435.718214666,645227.0,4994417.0,17.258,,17.258,,,,,,PTUA2022,IT03GWBISSBPPO,
91,PO020021NRP001,,,POZZO,,,,,CURTATONE,MN,1633548.387336152,4994891.153902057,633518.3157,4994872.379,20.444,,21.694,,,,,,PTUA2022,IT03GWBISSBPPO,
92,PO0200310R0062,,,POZZO,,,,,MARCARIA,MN,1627768.9501641039,4991895.74200317,627739.0,4991877.0,21.824,,21.824,,,,,,PTUA2022,IT03GWBISSBPPO,
93,PO0980110U0001,,0980110001,POZZO,,,,,CASELLE LANDI,LO,1562238.4526833305,4994642.133380769,562209.7293,4994623.069,45.233,,45.493,,,,,,PTUA2022-PTUA2003-CAP,IT03GWBISSBPPO,via Roma I-via Roma I                                                                                                                                                                                                                                                    
94,PO098049NR0141,,,PIEZOMETRO,,,,,SAN ROCCO AL PORTO,LO,1551005.0004935428,4994256.999656888,550976.491,4994237.896,49.723,,49.747,,,,,,PTUA2022,IT03GWBISSBPPO,
95,PO0180470U0001,,,POZZO,,,,,CERVESINA,PV,1501315.5520485155,4989892.2277227985,501288.0,4989873.0,71.908,,71.718,,,,,,PTUA2022,IT03GWBISSBPPO,
96,PO019103NRA001,,,PIEZOMETRO,,,,,STAGNO LOMBARDO,CR,1583765.1097768717,4989709.881999529,583736.0,4989691.0,34.83,,34.46,,,,,,PTUA2022,IT03GWBISSBPPO,
97,PO019083NRA001,,,POZZO,,,,,RIVAROLO DEL RE ED UNITI,CR,1616531.724925252,4988745.728641675,616502.0,4988727.0,21.39,,22.0,,,,,,PTUA2022,IT03GWBISSBPPO,
98,PO0200290R0002,,,PIEZOMETRO,,,,,MAGNACAVALLO,MN,1668136.6856456017,4985313.451976474,668106.0,4985295.0,13.0,,13.0,,,,,,PTUA2022,IT03GWBISSBPPO,
99,PO0200370R0002,,,PIEZOMETRO,,,,,MOTTEGGIANA,MN,1634468.0618098443,4988268.645872901,634438.0,4988250.0,18.0,,18.0,,,,,,PTUA2022,IT03GWBISSBPPO,
100,PO0200400R0001,,,PIEZOMETRO,,,,,PIEVE DI CORIANO,MN,1664204.6241645552,4988437.527142692,664174.0,4988419.0,11.817,,11.817,,,,,,PTUA2022,IT03GWBISSBPPO,HA PRESO NOME BORGO MANTOVANO
101,PO020061NR0001,,,PIEZOMETRO,,,,,SERMIDE,MN,1677827.8805201119,4988214.46720715,677797.0,4988196.0,10.65,,10.65,,,,,,PTUA2022,IT03GWBISSBPPO,
102,PO020061NUP001,,,PIEZOMETRO,,,,,SERMIDE,MN,1680954.9331079384,4986632.4245180655,680924.0,4986614.0,11.66,,11.66,,,,,,PTUA2022,IT03GWBISSBPPO,
103,PO0200650R0002,,,PIEZOMETRO,,,,,SUZZARA,MN,1636054.0780340054,4984922.576068286,636024.0,4984904.0,19.42,,19.42,,,,,,PTUA2022,IT03GWBISSBPPO,
104,PO020023NUP001,,,PIEZOMETRO,,,,,FELONICA,MN,1685875.0132409488,4983502.345243327,685844.0,4983484.0,8.7,,8.7,,,,,,PTUA2022,IT03GWBISSBPPO,
